Designator,Mid X,Mid Y,Layer,Rotation
R43,118.95,-46.73,T,90.00
R43,250.95,-46.73,T,90.00
R44,155.79,-23.77,T,180.00
R44,23.79,-23.77,T,180.00
R45,25.89,-44.33,T,315.00
R45,157.89,-44.33,T,315.00
R46,175.87,-50.77,T,0.00
R46,43.87,-50.77,T,0.00
R47,185.25,-43.25,T,270.00
R47,53.25,-43.25,T,270.00
R48,216.99,-31.27,T,90.00
R48,84.99,-31.27,T,90.00
R49,218.99,-31.27,T,270.00
R49,86.99,-31.27,T,270.00
R50,225.39,-32.33,T,315.00
R50,93.39,-32.33,T,315.00
R51,118.95,-43.24,T,90.00
R51,250.95,-43.24,T,90.00
R52,30.82,-23.77,T,180.00
R52,162.82,-23.77,T,180.00
R53,28.38,-46.82,T,315.00
R53,160.38,-46.82,T,315.00
R54,47.37,-50.77,T,0.00
R54,179.37,-50.77,T,0.00
R55,53.25,-46.77,T,270.00
R55,185.25,-46.77,T,270.00
R56,84.99,-27.76,T,90.00
R56,216.99,-27.76,T,90.00
R57,86.99,-34.80,T,270.00
R57,218.99,-34.80,T,270.00
R58,227.87,-34.81,T,315.00
R58,95.87,-34.81,T,315.00
R59,118.95,-39.74,T,90.00
R59,250.95,-39.74,T,90.00
R60,34.51,-31.25,T,90.00
R60,166.51,-31.25,T,90.00
R61,168.51,-27.77,T,270.00
R61,36.51,-27.77,T,270.00
R62,172.43,-29.87,T,315.00
R62,40.43,-29.87,T,315.00
R63,200.04,-46.73,T,90.00
R63,68.04,-46.73,T,90.00
R64,205.95,-38.70,T,0.00
R64,73.95,-38.70,T,0.00
R65,97.95,-23.77,T,180.00
R65,229.95,-23.77,T,180.00
R66,90.93,-41.87,T,315.00
R66,222.93,-41.87,T,315.00
R67,239.92,-50.77,T,0.00
R67,107.92,-50.77,T,0.00
R68,166.51,-27.74,T,90.00
R68,34.51,-27.74,T,90.00
R69,36.51,-31.24,T,270.00
R69,168.51,-31.24,T,270.00
R70,174.89,-32.33,T,315.00
R70,42.89,-32.33,T,315.00
R71,200.04,-43.24,T,90.00
R71,68.04,-43.24,T,90.00
R72,209.49,-38.77,T,0.00
R72,77.49,-38.77,T,0.00
R73,94.46,-23.77,T,180.00
R73,226.46,-23.77,T,180.00
R74,93.40,-44.34,T,315.00
R74,225.40,-44.34,T,315.00
R75,243.43,-50.77,T,0.00
R75,111.43,-50.77,T,0.00
R76,34.51,-34.74,T,90.00
R76,166.51,-34.74,T,90.00
R77,168.51,-34.76,T,270.00
R77,36.51,-34.76,T,270.00
R78,177.37,-34.81,T,315.00
R78,45.37,-34.81,T,315.00
R79,200.04,-39.74,T,90.00
R79,68.04,-39.74,T,90.00
R80,213.04,-38.77,T,0.00
R80,81.04,-38.77,T,0.00
R81,90.95,-23.77,T,180.00
R81,222.95,-23.77,T,180.00
R82,95.88,-46.82,T,315.00
R82,227.88,-46.82,T,315.00
R83,246.94,-50.77,T,0.00
R83,114.94,-50.77,T,0.00
R84,162.66,-38.77,T,0.00
R84,30.66,-38.77,T,0.00
R85,179.51,-23.77,T,180.00
R85,47.51,-23.77,T,180.00
R86,40.44,-41.88,T,315.00
R86,172.44,-41.88,T,315.00
R87,189.11,-50.77,T,0.00
R87,57.11,-50.77,T,0.00
R88,202.04,-39.78,T,270.00
R88,70.04,-39.78,T,270.00
R89,233.95,-34.76,T,90.00
R89,101.95,-34.76,T,90.00
R90,235.95,-27.79,T,270.00
R90,103.95,-27.79,T,270.00
R91,107.91,-29.85,T,315.00
R91,239.91,-29.85,T,315.00
R92,155.62,-38.60,T,0.00
R92,23.62,-38.60,T,0.00
R93,176.03,-23.77,T,180.00
R93,44.03,-23.77,T,180.00
R94,174.90,-44.34,T,315.00
R94,42.90,-44.34,T,315.00
R95,192.62,-50.77,T,0.00
R95,60.62,-50.77,T,0.00
R96,202.04,-43.25,T,270.00
R96,70.04,-43.25,T,270.00
R97,233.95,-31.27,T,90.00
R97,101.95,-31.27,T,90.00
R98,235.95,-31.27,T,270.00
R98,103.95,-31.27,T,270.00
R99,242.39,-32.33,T,315.00
R99,110.39,-32.33,T,315.00
R100,27.13,-38.77,T,0.00
R100,159.13,-38.77,T,0.00
R101,172.52,-23.77,T,180.00
R101,40.52,-23.77,T,180.00
R102,45.37,-46.82,T,315.00
R102,177.37,-46.82,T,315.00
R103,196.14,-50.77,T,0.00
R103,64.14,-50.77,T,0.00
R104,202.04,-46.77,T,270.00
R104,70.04,-46.77,T,270.00
R105,233.95,-27.76,T,90.00
R105,101.95,-27.76,T,90.00
R106,103.95,-34.79,T,270.00
R106,235.95,-34.79,T,270.00
R107,112.87,-34.82,T,315.00
R107,244.87,-34.82,T,315.00
R108,19.74,-39.77,T,270.00
R108,151.74,-39.77,T,270.00
R109,183.25,-34.76,T,90.00
R109,51.25,-34.76,T,90.00
R110,185.25,-27.79,T,270.00
R110,53.25,-27.79,T,270.00
R111,57.16,-29.85,T,315.00
R111,189.16,-29.85,T,315.00
R112,216.99,-46.73,T,90.00
R112,84.99,-46.73,T,90.00
R113,90.98,-38.77,T,0.00
R113,222.98,-38.77,T,0.00
R114,114.99,-23.77,T,180.00
R114,246.99,-23.77,T,180.00
R115,239.91,-41.85,T,315.00
R115,107.91,-41.85,T,315.00
R116,19.74,-43.25,T,270.00
R116,151.74,-43.25,T,270.00
R117,51.25,-31.26,T,90.00
R117,183.25,-31.26,T,90.00
R118,53.25,-31.27,T,270.00
R118,185.25,-31.27,T,270.00
R119,191.64,-32.33,T,315.00
R119,59.64,-32.33,T,315.00
R120,84.99,-43.25,T,90.00
R120,216.99,-43.25,T,90.00
R121,226.47,-38.77,T,0.00
R121,94.47,-38.77,T,0.00
R122,243.48,-23.77,T,180.00
R122,111.48,-23.77,T,180.00
R123,242.38,-44.32,T,315.00
R123,110.38,-44.32,T,315.00
R124,19.74,-46.76,T,270.00
R124,151.74,-46.76,T,270.00
R125,183.25,-27.76,T,90.00
R125,51.25,-27.76,T,90.00
